Number of parameters:  (np.int64(5708), np.int64(5377))
KL:  0.00025419736630283296
Entropy:  0.9188406467437744
DeltaLossPi:  -0.004209411796182394
DeltaLossV:  0.0

LossPi:  -0.07123257219791412
LossV:  1990.6138916015625
KL:  0.000132684494019486
Entropy:  0.9188372492790222
DeltaLossPi:  -0.003370516002178192
DeltaLossV:  0.0

LossPi:  -0.07277578860521317
LossV:  1771.5308837890625
KL:  0.00011965918383793905
Entropy:  0.9188336730003357
DeltaLossPi:  -0.0031010285019874573
DeltaLossV:  0.0

LossPi:  -0.09777817130088806
LossV:  1408.1514892578125
KL:  0.00027326346025802195
Entropy:  0.9188295602798462
DeltaLossPi:  -0.004049405455589294
DeltaLossV:  0.0

LossPi:  -0.03342755138874054
LossV:  1268.75146484375
KL:  7.27719598216936e-05
Entropy:  0.9188253283500671
DeltaLossPi:  -0.0037695765495300293
DeltaLossV:  0.0

LossPi:  -0.02779437229037285
LossV:  1633.4202880859375
KL:  0.00013962147932033986
Entropy:  0.9188212752342224
DeltaLossPi:  -0.004111815243959427
DeltaLossV:  0.0

LossPi:  -0.06624893099069595
LossV:  1760.752197265625
KL:  0.00012068587238900363
Entropy:  0.9188172221183777
DeltaLossPi:  -0.0027981549501419067
DeltaLossV:  0.0

LossPi:  -0.004334442317485809
LossV:  1369.6822509765625
KL:  4.7616860683774576e-05
Entropy:  0.9188138246536255
DeltaLossPi:  -0.0029568783938884735
DeltaLossV:  0.0

LossPi:  -0.07448127120733261
LossV:  1359.7081298828125
KL:  -6.144473445601761e-05
Entropy:  0.9188103079795837
DeltaLossPi:  -0.0029556676745414734
DeltaLossV:  0.0

LossPi:  -0.012565902434289455
LossV:  1513.6705322265625
KL:  0.00016361054440494627
Entropy:  0.9188070297241211
DeltaLossPi:  -0.003245850093662739
DeltaLossV:  0.0

LossPi:  -0.04476858675479889
LossV:  1267.17529296875
KL:  0.00012701419473160058
Entropy:  0.9188039302825928
DeltaLossPi:  -0.0030957944691181183
DeltaLossV:  0.0

LossPi:  -0.06138421595096588
LossV:  1276.377197265625
KL:  0.0001313222892349586
Entropy:  0.9188007116317749
DeltaLossPi:  -0.003026120364665985
DeltaLossV:  0.0

LossPi:  -0.020896881818771362
LossV:  1381.14599609375
KL:  1.4485823157883715e-05
Entropy:  0.9187975525856018
DeltaLossPi:  -0.003294646739959717
DeltaLossV:  0.0

LossPi:  -0.05735989287495613
LossV:  1256.0400390625
KL:  2.6424129828228615e-05
Entropy:  0.9187940955162048
DeltaLossPi:  -0.003264863044023514
DeltaLossV:  0.0

LossPi:  -0.04277917370200157
LossV:  1264.823486328125
KL:  6.473340181401e-05
Entropy:  0.918790876865387
DeltaLossPi:  -0.0031818561255931854
DeltaLossV:  0.0

LossPi:  -0.04298025369644165
LossV:  1167.3050537109375
KL:  5.5323213018709794e-05
Entropy:  0.9187876582145691
DeltaLossPi:  -0.0033169128000736237
DeltaLossV:  0.0
